id,municipio,vereda,longitud,latitud,altitud,caudal_ver,vigencia,tipo_vert,sist_trata,descarga,clase_vert,actividad,fuente_rec,cuerpo_rec,tipo_desc,observacio,sist_med_c,coordenadas
118,Puerto Boyaca,Centro,-74.57636667,5.885502778,137,173,09/28/2004 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.57636667 5.885502778)
119,Puerto Boyaca,Centro,-74.57408056,5.975575,146,173,11/05/2006 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.57408056 5.975575)
120,Puerto Boyaca,Centro,-74.58362222,5.970666667,145,2625,11/23/2006 12:00:00 AM,Distribuida,Turbulento,1,1,,Cano El Progreso,Cano El Progreso,Distribuida,,,POINT (-74.58362222 5.970666667)
121,Puerto Boyaca,Centro,-74.58369444,5.970630556,2625,136,11/23/2006 12:00:00 AM,Distribuida,Turbulento,1,1,,Cano El Progreso,Cano El Progreso,Distribuida,,,POINT (-74.58369444 5.970630556)
122,La Victoria,Centro,-74.23167222,5.526627778,0,2,11/29/2004 12:00:00 AM,Distribuida,Turbulento,1,Comercial,,Quebrada La Calichona,Quebrada La Calichona,Distribuida,,,POINT (-74.23167222 5.526627778)
123,La Victoria,Centro,-74.23560556,5.522430556,0,5,12/06/2004 12:00:00 AM,Distribuida,Turbulento,1,1,,Quebrada El Cedro,Quebrada El Cedro,Distribuida,,,POINT (-74.23560556 5.522430556)
124,La Victoria,Centro,-74.23176944,5.521383333,0,1,12/06/2004 12:00:00 AM,Distribuida,Turbulento,1,1,,Quebrada El Cedro,Quebrada El Cedro,Distribuida,,,POINT (-74.23176944 5.521383333)
125,Combita,Concepcion,-73.32378611,5.613433333,0,No Reportado,07/10/2006 12:00:00 AM,Puntual,,1,1,,Tanque Septico,Tanque Septico,Puntual,,,POINT (-73.32378611 5.613433333)
126,Pesca,Zona Urbana,-73.05373611,5.563366667,2593,2.484,12/07/2004 12:00:00 AM,Distribuida,,1,Comercial,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.05373611 5.563366667)
127,Pesca,Zona Urbana,-73.05463056,5.562880556,2594,2.484,12/07/2004 12:00:00 AM,Distribuida,,1,Comercial,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.05463056 5.562880556)
128,Pesca,Zona Urbana,-73.05616944,5.561136111,2598,2.484,12/07/2004 12:00:00 AM,Distribuida,,1,Comercial,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.05616944 5.561136111)
129,Pesca,Zona Urbana,-73.05325833,5.564080556,2592,2.484,12/07/2004 12:00:00 AM,Distribuida,,1,Comercial,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.05325833 5.564080556)
130,Pesca,Zona Urbana,-73.05045,5.565113889,2596,2.484,12/07/2004 12:00:00 AM,Distribuida,,1,Comercial,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.05045 5.565113889)
131,Pesca,Zona Urbana,-73.04920833,5.568458333,2583,2.484,12/07/2004 12:00:00 AM,Distribuida,,1,Comercial,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.04920833 5.568458333)
132,La Uvita,Zona Urbana,-72.56317778,6.317530556,2351,No Reportado,12/10/2004 12:00:00 AM,Distribuida,Normal,1,1,2 Seguimientos,Quebrada Negra,Quebrada Negra,Distribuida,,Volumetrico,POINT (-72.56317778 6.317530556)
133,La Uvita,Zona Urbana,-72.56317778,6.317008333,2357,No Reportado,12/10/2004 12:00:00 AM,Puntual,,1,1,2 Seguimientos,Quebrada Los Andes,Quebrada Los Andes,Puntual,,,POINT (-72.56317778 6.317008333)
